Latitude,Longitude
29.18139,-100.17969
33.07149,-100.52039
33.03352,-100.54961
33.00439,-100.58538
33.02178,-100.52546
33.03853,-100.53845
32.88889,-100.57687
32.88803,-100.5816
33.03648,-100.52942
33.01464,-100.51762
32.89581,-100.5881
33.03643,-100.53359
32.87386,-100.5946
33.09126,-100.54065
32.89856,-100.59158
32.89236,-100.5651
33.03036,-100.52064
33.01292,-100.50873
33.05171,-100.52293
33.00704,-100.56841
32.96473,-100.53332
33.0593,-100.49897
33.03795,-100.49732
32.91092,-100.56422
33.05947,-100.52982
32.88286,-100.58898
32.99262,-100.5562
33.04452,-100.53368
33.06864,-100.53223
33.00531,-100.58066
32.99675,-100.54704
32.89323,-100.5603
32.8946,-100.60215
32.9761,-100.53255
32.89005,-100.59841
32.88686,-100.59386
32.90645,-100.58606
32.99558,-100.56276
33.03871,-100.52367
32.87219,-100.59956
33.03074,-100.54122
32.8898,-100.57236
32.91821,-100.57486
33.05191,-100.52808
33.00785,-100.51255
32.87976,-100.60146
33.04936,-100.49898
33.04271,-100.50671
33.05064,-100.5438
32.99033,-100.54147
32.90838,-100.57375
32.98405,-100.56403
33.08588,-100.53799
33.03854,-100.51564
32.89082,-100.5686
32.90821,-100.58901
33.03214,-100.55832
32.89464,-100.57022
33.00883,-100.56281
32.89686,-100.56575
32.91018,-100.57781
33.02145,-100.5192
32.98877,-100.53662
32.91327,-100.56799
32.90321,-100.57402
32.87516,-100.58741
33.00726,-100.57259
33.02787,-100.54693
33.02515,-100.53352
33.01964,-100.55611
33.03184,-100.55407
32.96099,-100.5294
32.91568,-100.57116
32.90086,-100.59412
32.89385,-100.55681
33.02129,-100.5514
33.00184,-100.499
32.89265,-100.58499
32.90431,-100.58295
33.08141,-100.54948
32.98749,-100.56976
33.04118,-100.54331
33.04059,-100.5025
33.05536,-100.51244
33.00221,-100.505
33.03181,-100.49427
33.07086,-100.52744
33.01229,-100.51517
33.09148,-100.54548
32.90409,-100.57878
33.04374,-100.51091
33.02889,-100.52813
33.05258,-100.51813
33.00243,-100.59049
32.91028,-100.56061
33.08201,-100.54499
33.05494,-100.5071
32.88908,-100.97308
32.84934,-100.95278
32.88099,-100.94438
32.85076,-100.96054
32.89556,-101.03733
32.92234,-100.97238
32.84913,-100.97222
32.90452,-100.96761
32.91134,-101.02806
32.90717,-100.95647
32.93598,-100.97623
32.88414,-101.02978
32.87523,-101.00656
32.90683,-100.99145
32.90463,-101.04857
32.87886,-100.97239
32.88164,-100.94024
32.88907,-100.9812
32.88417,-101.03369
32.89902,-100.94185
32.89404,-100.95885
32.92222,-100.96788
32.92171,-101.00922
32.86501,-100.96447
32.8774,-100.92928
32.88121,-101.01872
32.90742,-101.0323
32.88412,-101.02586
32.88419,-101.0376
32.9417,-100.99524
32.86741,-100.95931
32.88966,-100.98509
32.89323,-100.96243
32.90577,-101.01791
32.89021,-100.98901
32.87777,-100.99439
32.88242,-100.94788
32.89632,-100.94943
32.87843,-100.96858
32.89035,-100.99703
32.93955,-100.98441
32.90313,-101.02161
32.85955,-101.00104
32.90727,-100.94894
32.86523,-100.97791
32.88586,-101.04512
32.90759,-101.03596
32.939,-100.98051
32.90592,-100.98793
32.89235,-101.01435
32.91722,-100.99763
32.88186,-100.95559
32.89058,-100.99345
32.84995,-100.96834
32.90782,-100.94537
32.91711,-100.99365
32.88322,-100.95171
32.89563,-101.04134
32.94167,-100.98741
32.88876,-100.97738
32.87572,-100.99015
32.88408,-101.04144
32.89029,-101.00077
32.86139,-100.98389
32.89199,-100.96608
32.87596,-100.98238
32.90257,-101.02573
32.85946,-100.99155
32.88151,-100.96065
32.88287,-101.02219
32.85054,-100.96442
32.85933,-100.9876
32.86588,-100.96838
32.9037,-100.97148
32.87782,-100.99825
32.85074,-100.95675
32.88055,-100.93247
32.89597,-101.02938
32.90682,-100.96024
32.92854,-101.02016
32.90503,-100.98434
32.90597,-100.96391
32.88942,-101.00449
32.8652,-100.95535
32.88242,-100.93641
32.89324,-101.01796
32.91259,-101.02397
32.90727,-100.95271
32.92078,-101.00407
32.85951,-100.99714
32.86629,-100.97324
32.91614,-101.01855
32.92209,-101.01276
32.89691,-100.94555
32.86426,-100.95131
32.90523,-101.04414
32.89553,-101.03336
32.91062,-100.94103
32.92489,-101.01589
32.88602,-101.04897
32.90326,-100.97714
32.87582,-100.98627
32.90556,-101.03948
32.90414,-100.98074
32.94153,-100.99144
32.89611,-100.95322
32.88123,-101.01299
32.87671,-101.00261
32.90599,-101.01402
32.89984,-101.00745
33.58089,-101.82389
29.1752,-100.2161
29.1638,-100.22759
29.1661,-100.22399
29.21619,-100.16059
29.19065,-100.19348
29.2061,-100.17679
29.2124,-100.16589
29.16489,-100.22559
29.21487,-100.16232
29.1838,-100.2011
29.19494,-100.20116
29.18767,-100.19614
29.2102,-100.17001
29.1915,-100.2068
29.2128,-100.14569
29.1887,-100.19409
29.19263,-100.20488
29.1724,-100.21909
29.18114,-100.21063
29.1795,-100.18414
29.20406,-100.17688
29.1778,-100.21279
29.17638,-100.21447
29.21703,-100.15817
29.21569,-100.13879
29.1794,-100.21169
29.19051,-100.20889
29.18908,-100.21107
29.1828,-100.20619
29.2145,-100.14089
29.18609,-100.1974
29.21355,-100.14316
29.1995,-100.18089
29.18327,-100.17395
29.1696,-100.22199
29.19581,-100.19611
29.18049,-100.18203
29.1737,-100.21749
29.16789,-100.22299
29.21103,-100.16765
29.18432,-100.1711
29.21359,-100.16409
29.19594,-100.193
29.1711,-100.22059
29.1939,-100.20329
29.18324,-100.20351
29.1846,-100.19869
29.2014,-100.1769
29.20026,-100.17883
29.17819,-100.18578
29.196,-100.19949
29.1823,-100.20879
29.1629,-100.22959
29.1982,-100.1825
33.2021,-97.16089
33.2012,-97.161
33.20009,-97.16089
31.16863,-101.83028
31.15658,-101.8317
31.17481,-101.79771
31.12967,-101.82668
31.17671,-101.80267
31.17851,-101.82311
31.14037,-101.83199
31.17757,-101.87174
31.17646,-101.83627
31.15374,-101.84554
31.15388,-101.81272
31.16814,-101.84943
31.18263,-101.79098
31.18126,-101.80058
31.18284,-101.78684
31.15833,-101.85992
31.14795,-101.87139
31.17766,-101.83265
31.14004,-101.78848
31.1711,-101.80673
31.15315,-101.82124
31.16993,-101.85887
31.1786,-101.84569
31.14236,-101.82849
31.15494,-101.84071
31.12752,-101.82191
31.15476,-101.86536
31.14528,-101.81404
31.15187,-101.86893
31.1754,-101.86791
31.1812,-101.79464
31.13862,-101.79229
31.1651,-101.85374
31.16392,-101.83651
31.17894,-101.80737
31.16741,-101.86862
31.15996,-101.87334
31.18298,-101.80513
31.16979,-101.82646
31.17656,-101.85871
31.14259,-101.80478
31.1853,-101.82196
31.15816,-101.8382
31.16818,-101.81368
31.14043,-101.83636
31.14626,-101.82633
31.14247,-101.81868
31.15428,-101.81708
31.17893,-101.81159
31.15442,-101.80855
31.17012,-101.84633
31.1439,-101.80152
31.16671,-101.87568
31.15155,-101.82536
31.17666,-101.86376
31.16694,-101.86314
31.16805,-101.83432
31.17503,-101.84021
31.1554,-101.85524
31.16272,-101.85746
31.18605,-101.81791
31.16992,-101.84187
31.83371,-100.68943
31.83274,-100.67485
31.85682,-100.71034
31.87396,-100.77303
31.80517,-100.56931
31.87417,-100.76807
31.80703,-100.74295
31.80402,-100.60104
31.7622,-100.51065
31.78222,-100.60336
31.84012,-100.68002
31.86939,-100.73356
31.81581,-100.55238
31.85715,-100.73084
31.82597,-100.74789
31.79285,-100.68314
31.83649,-100.67804
31.83765,-100.72347
31.81189,-100.72306
31.8614,-100.73969
31.80637,-100.55913
31.79787,-100.66684
31.80887,-100.61108
31.80533,-100.75454
31.80099,-100.67604
31.80399,-100.60491
31.79536,-100.57397
31.86005,-100.70222
31.74956,-100.52278
31.79886,-100.65976
31.83129,-100.70589
31.84264,-100.69309
31.78282,-100.6078
31.85012,-100.73623
31.7854,-100.70643
31.81773,-100.6254
31.8091,-100.57121
31.85173,-100.7254
31.86778,-100.74008
31.79909,-100.65511
31.8119,-100.73196
31.80744,-100.5634
31.83453,-100.68521
31.77706,-100.53143
31.81043,-100.54644
31.80017,-100.61107
31.83036,-100.68105
31.76377,-100.52689
31.78298,-100.71439
31.85877,-100.75219
31.78512,-100.59089
31.81025,-100.60726
31.81598,-100.62853
31.82189,-100.66161
31.79579,-100.67491
31.79923,-100.6708
31.82133,-100.68525
31.81206,-100.72738
31.80517,-100.75042
31.79293,-100.56718
31.80083,-100.58926
31.83623,-100.73184
31.78596,-100.69538
31.8392,-100.67092
31.78311,-100.61554
31.75488,-100.51716
31.7979,-100.6456
31.79499,-100.58694
31.79488,-100.51486
31.83312,-100.71071
31.84133,-100.71088
31.86718,-100.757
31.87441,-100.7183
31.75216,-100.52856
31.81796,-100.61875
31.79014,-100.55088
31.86774,-100.76154
31.83093,-100.74583
31.79817,-100.6151
31.7831,-100.6446
31.78848,-100.52953
31.78302,-100.64839
31.79256,-100.52315
31.77059,-100.51086
31.79331,-100.62019
31.78248,-100.54005
31.79512,-100.57784
31.79826,-100.63234
31.7907,-100.55505
31.75521,-100.51324
31.81443,-100.65748
31.81447,-100.63182
31.78398,-100.62756
31.80352,-100.53906
31.8002,-100.63609
31.85862,-100.73531
31.77587,-100.52297
31.78565,-100.69987
31.81226,-100.62057
31.78307,-100.63641
31.78287,-100.64065
31.81782,-100.6144
31.77004,-100.50694
31.78357,-100.7104
31.76434,-100.52289
31.78647,-100.5946
